"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Salesforce sales module functionality","019_ListView","1","0","0","0","0"
"","Salesforce sales module functionality","005_Lead Conversion","0","0","1","0","0"
"","Salesforce sales module functionality","015_Attempt to sync another quote and capture sync error","0","0","1","0","0"
"","Salesforce sales module functionality","007_Perform global search for finding out the account","0","0","1","0","0"
"","Salesforce sales module functionality","012_Calculation and comparison of price from products screen and amount field","0","0","1","0","0"
"","Salesforce sales module functionality","016_creation of a new contract","0","0","1","0","0"
"","Salesforce sales module functionality","013_Creation of new quote","0","0","1","0","0"
"","Salesforce sales module functionality","008_Link an existing parent account to the business account","0","0","1","0","0"
"","Salesforce sales module functionality","010_Choosing a Price Book from Opportunity Products","0","0","1","0","0"
"","Salesforce sales module functionality","018_Setting Closed to opportunity stages","0","0","1","0","0"
"","Salesforce sales module functionality","011_To add products to the selected price book from Opportunity Products","0","0","1","0","0"
"","Salesforce Login Functionality","Login to salesforce using credentials","0","0","1","0","0"
"","Salesforce sales module functionality","017_order creation","0","0","1","0","0"
"","Salesforce sales module functionality","002_Creation of a new lead","0","0","1","0","0"
"","Salesforce sales module functionality","009_Perform global search for finding out the opportunity","0","0","1","0","0"
"","Salesforce sales module functionality","004_Lead Progression","0","0","1","0","0"
"","Salesforce sales module functionality","014_To sync and verify a quote","0","0","1","0","0"
"","Salesforce sales module functionality","003_Creation of a new Task from Lead","0","0","1","0","0"
"","Salesforce sales module functionality","001_Login to salesforce using credentials","0","0","1","0","0"
"","Salesforce sales module functionality","006_Perform global search for finding out the contact","0","0","1","0","0"
"","Login functionality","Valid login and logout","1","0","0","0","0"
